ticker,alpha_daily,beta,alpha_pvalue,beta_pvalue,r_squared,adjusted_r_squared,observations
AAPL,0.0004881325480082839,1.208149216409424,0.04216680659053128,0.0,0.5683105183435004,0.568138598995967,2513
AMZN,0.0003674399825446438,1.1747519227158418,0.24171793648227982,7.735479098198997e-301,0.4215771097925949,0.42134675420111445,2513
JPM,0.0003084831526547089,1.0864058293763328,0.20406915872329076,0.0,0.5100134842196513,0.5098183482117739,2513
CAT,0.000541642709308246,1.075125353128556,0.06470383313454398,1.368959679161613e-291,0.4116885695230009,0.4114542758430021,2513
PLD,0.00016649714990262356,0.9664006835957034,0.5208949453562977,9.67751931452171e-299,0.41934920118754326,0.4191179583365626,2513
LIN,0.0002469656199588311,0.8819413171997982,0.2320484587373074,0.0,0.4865544619910239,0.48634998348126324,2513
XOM,4.197725051760272e-05,0.804635266393132,0.8882240030817574,6.976152476914763e-177,0.2740597885235181,0.27377068449664577,2513
NEE,0.0002935859550968326,0.6392567730965416,0.2965064353336163,5.322236840374967e-132,0.211856744903409,0.21154286865685523,2513
PG,0.00010206265706356983,0.4938662241351178,0.6222037612865449,1.910404075594744e-143,0.22820473820014475,0.22789737250448572,2513
JNJ,0.00015992692221821628,0.4673461464680046,0.4352825164533287,1.1143053899542859e-132,0.21283628617143246,0.2125228000249456,2513
