window,ticker,alpha_daily,beta,alpha_pvalue,r_squared,observations
2016-2020,AAPL,0.0008639901941697872,1.1789337039114043,0.014882071423867051,0.5642134528198334,1258
2016-2020,JPM,0.00014700119717487006,1.2363576934488099,0.6663588942639659,0.606033238184063,1258
2016-2020,JNJ,0.00015015985135917787,0.6620219416355294,0.5800852257073359,0.41039963442326033,1258
2016-2020,XOM,-0.0007260707210494575,1.0103782108508794,0.05284390875205212,0.4595954566352183,1258
2016-2020,PG,0.0002796451525916656,0.6302557234110912,0.32687291706635374,0.36361426662642016,1258
2016-2020,CAT,0.00045076830660612996,1.1502708086246778,0.25706871034111406,0.4946705232241946,1258
2016-2020,NEE,0.0006798336729980259,0.6694463891220512,0.046700456686992305,0.3100841365819428,1258
2016-2020,AMZN,0.000943954932643912,0.9345674598631326,0.029940741840141907,0.3512313127406641,1258
2016-2020,LIN,0.00041165261737071703,0.9642946470721504,0.15536804655999456,0.5646198484313061,1258
2016-2020,PLD,0.0003950868072325733,0.977781721733686,0.25714630254808646,0.47929146137541967,1258
2021-2025,AAPL,0.00011165976571536955,1.245399457599347,0.7302126678105616,0.5743652791980046,1255
2021-2025,JPM,0.0004696511856095665,0.8933531149773809,0.1641362305285253,0.38999940299669733,1255
2021-2025,JNJ,0.0001688939366011352,0.216503931986924,0.5610498279535024,0.04821060565224944,1255
2021-2025,XOM,0.0008106676479814667,0.5403309377726404,0.07345996626532109,0.11504392545881259,1255
2021-2025,PG,-7.644251710758936e-05,0.31793239690195485,0.7936171267334317,0.09746940169638596,1255
2021-2025,CAT,0.0006323793366188495,0.978391226521078,0.14104244884850495,0.32132292795991146,1255
2021-2025,NEE,-9.35472913419566e-05,0.5999486758555076,0.8341591072242552,0.14123514827773065,1255
2021-2025,AMZN,-0.0002091963381608057,1.4836381268050154,0.631144147347187,0.5140114342625935,1255
2021-2025,LIN,8.160866257982768e-05,0.7756502119866135,0.7797620724155986,0.3918462302298249,1255
2021-2025,PLD,-6.258928845725786e-05,0.9514947174115339,0.8706473178188271,0.35854871431957225,1255
